title,price,company,moq,rating,nop,image,link,scrapedAt
Oversized Plus Size Winter Puff Thick Warm Men's Custom Logo Bubble Clothes Men Puffer Jacket,9.85,"Yiwu Ouze Clothing Co., Ltd.",Min. order: 2 pieces,4.3,544 sold,https://s.alicdn.com/@sc04/kf/H18a9524be731421d9949ef2a5f9794a0F.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Oversized-Plus-Size-Winter-Puff-Thick_1601245580808.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:52.539Z
Men's Oversize High Collar Fluffy Down Jackets Custom Winter Bomber Puffer Jacket for Men Outdoor Ski Waterproof With Zip Pocket,21.83,"Dongguan Auming Garment Co., Ltd.",Min. order: 100 pieces,4.9,32 sold,https://s.alicdn.com/@sc04/kf/Hbeadc5407eab4e9383f5e902d6a2efb0h.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Men-s-Oversize-High-Collar-Fluffy_1601209927830.html,2025-02-19T06:53:52.740Z
Elegant Oversized Cashmere Coat: High-Quality 100% Wool Winter Women's With Scarf,17.99-24.99,AMERICAN TRENCH CLOTHING,Min. order: 20 pieces,5.0,nil,https://s.alicdn.com/@sc04/kf/A5754cd1ff17d4752a80e2f030d8c4c91I.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Elegant-Oversized-Cashmere-Coat-High-Quality_10000021542402.html,2025-02-19T06:53:52.930Z
Men'S Cotton Coat Factory Custom Oem Odm Low Moq Thick Zip Neck Fleece Hoodie,6.68-12.88,"Shenzhen Jieen Clothing Co., Ltd.",Min. order: 30 pieces,4.6,33 views,https://s.alicdn.com/@sc04/kf/H116c2faa6b884156bc192261590db701r.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Men-S-Cotton-Coat-Factory-Custom_1600636045247.html,2025-02-19T06:53:53.132Z
DiZNEW Puffer Jacket Custom High Quality Down Hooded Jacket Men's Winter Removable,16.95-32.95,"Dongguan Designeroon Garment Co., Ltd.",Min. order: 2 pieces,4.5,nil,https://s.alicdn.com/@sc04/kf/H01f88bd6bc2b419e9695eed05dc0fe652.jpg_300x300.jpg,https://www.alibaba.com/product-detail/DiZNEW-Puffer-Jacket-Custom-High-Quality_1601224436025.html,2025-02-19T06:53:53.318Z
Oversize Fashion Ladies Street Wear Coat Plus Size Jacket Removable Hood for Spring Luxury Standard Motorcycle Jacket,14.60,"Shenzhen Chaowangda Technology Co., Ltd.",Min. order: 3 pieces,4.5,nil,https://s.alicdn.com/@sc04/kf/H0267837a10ac43b2a1947c2d091ab649p.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Oversize-Fashion-Ladies-Street-Wear-Coat_1601195250599.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:53.512Z
Men's Long Coat Large Size Winter Cotton Padded Jacket Hood Parka Outerwear Thick Warm,12.90,"Guangzhou Ouerman Garment Co., Ltd.",Min. order: 1 piece,4.3,nil,https://s.alicdn.com/@sc04/kf/Ha0e719c1baf64f4c9194109b05b0cd5aW.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Men-s-Long-Coat-Large-Size_1600615531276.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:53.700Z
Vintage Stylish Pockets Oversized Plaid Jacket Coat Womens Washed Plaid Shirts Button Down Flannel Long Sleeve Shirts Jackets,9.95,"Suzhou Givebest Import & Export Co., Ltd.",Min. order: 2 pieces,4.6,10 sold,https://s.alicdn.com/@sc04/kf/H9f8e81b572da412e9b3543da89c4c5c0J.png_300x300.png,https://www.alibaba.com/product-detail/Vintage-Stylish-Pockets-Oversized-Plaid-Jacket_1601046888967.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:53.896Z
Hot Sale Custom Light Weight Warm Oversize M-8XL Detachable Hooded Windproof Jacket Men's Down Padded Puffer Jacket for Men,15.50,"Shishi Pandanuo Imp. Exp. Co., Ltd.",Min. order: 2 pieces,4.2,2 sold,https://s.alicdn.com/@sc04/kf/He9914f2ded164c2491d99d10dc422258K.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Hot-Sale-Custom-Light-Weight-Warm_1601172257008.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:54.102Z
OEM High Quality Winter Zip up Custom Logo Oversized Men Fleece Sherpa Jacket,13.45,"Yiwu Guanyu Trading Co., Ltd.",Min. order: 2 pieces,4.5,1 sold,https://s.alicdn.com/@sc04/kf/Hdc979132e0c344899bc3914670d5d91a5.jpg_300x300.jpg,https://www.alibaba.com/product-detail/OEM-High-Quality-Winter-Zip-up_1600542766833.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T06:53:54.325Z
