"title","price","company","moq","rating","image","link"
"Kingsted T-Shirts for Men Pack - Royally Comfortable - Super Soft Premium Fabric - Well-Crafted Classic Tee","39",,,,"https://m.media-amazon.com/images/I/617IjJArgKL._AC_UL320_.jpg","https://www.amazon.com/Kingsted-Mens-T-Shirts-Pack-Comfortable/dp/B07NHW8Z3N/ref=sr_1_11?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-11"
"INTO THE AM Mens T Shirt - Short Sleeve Crew Neck Soft Fitted Tees S - 4XL Fresh Classic Tshirts","24",,,,"https://m.media-amazon.com/images/I/514+cCZyeUS._AC_UL320_.jpg","https://www.amazon.com/INTO-AM-Mens-Fitted-Essential/dp/B08XTB8JPH/ref=sr_1_12?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-12"
"Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt","19",,,,"https://m.media-amazon.com/images/I/5129ENToejL._AC_UL320_.jpg","https://www.amazon.com/Carhartt-Workwear-T-Shirt-Original-2X-Large/dp/B000G77PF0/ref=sr_1_13?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-13"
"Under Armour Men's Tech 2.0 V-Neck Short-Sleeve T-Shirt","11",,,,"https://m.media-amazon.com/images/I/71KSmJ4T1yL._AC_UL320_.jpg","https://www.amazon.com/Under-Armour-T-Shirt-Graphite-X-Large/dp/B07815C5QP/ref=sr_1_14?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-14"
"Costa Del Mar Men's Topwater Short Sleeve T-Shirt","20",,,,"https://m.media-amazon.com/images/I/61-4LzTyDwL._AC_UL320_.jpg","https://www.amazon.com/Costa-Del-Mar-T-Shirt-Dark-Heather-XXL/dp/B079TJR6HX/ref=sr_1_15?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-15"
"Fruit of the Loom Men's Eversoft Cotton Stay Tucked V-Neck T-Shirt","16",,,,"https://m.media-amazon.com/images/I/51sc3-LB+hL._AC_UL320_.jpg","https://www.amazon.com/Fruit-Loom-6-Pack-Tucked-T-Shirt/dp/B00VTVBHQK/ref=sr_1_16?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-16"
"Champion Men's Classic Everyday Soft, Comfortable T-Shirt (Regular or Big & Tall)","8",,,,"https://m.media-amazon.com/images/I/51ymWaWO2mL._AC_UL320_.jpg","https://www.amazon.com/Champion-Classic-T-Shirt-Mens-4X-Large/dp/B0BPF1R8KC/ref=sr_1_17?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-17"
"Hanes Men's Short Sleeve T-Shirt Pack, Essentials Crewneck Cotton T-Shirt, 4 or 6 Pack","16",,,,"https://m.media-amazon.com/images/I/81M-7VvFZ0L._AC_UL320_.jpg","https://www.amazon.com/Hanes-Comfortsoft-T-Shirt-charcoal-heather/dp/B0746PGJGC/ref=sr_1_18?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-18"
"Hanes Men’s Short Sleeve Graphic T-shirt Collection","10",,,,"https://m.media-amazon.com/images/I/81MHRfnVZvL._AC_UL320_.jpg","https://www.amazon.com/Hanes-Graphic-Tee-Americana-Collection-Medium/dp/B01EKB41LS/ref=sr_1_19?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-19"
"Hanes Men's Originals Lightweight Tri-Blend Crewneck T-Shirts","5",,,,"https://m.media-amazon.com/images/I/71G3wuFkcqL._AC_UL320_.jpg","https://www.amazon.com/Hanes-Originals-Lightweight-Crewneck-Tri-Blend/dp/B0BTTNT5Y3/ref=sr_1_20?dib=eyJ2IjoiMSJ9.PN-wDShjXZuwjxP37i8L3j1EdcTuHywgZCUptYbDgTxWZAg3BiYbu8bl4cSL3CiBQRghAMQfW3Js8KpISEknZmrrF2togW3KJLHnVUGTs8ckp-1OrdWX9wuft0zD4jZj9oBtrDtfZ2kLGMA5rZ8qkPjyZFeeUosiQN0D_O2MRpmyZLkAaFd_wSor1OtQf9HHckJf7re_6qQ1yBOfkNhqaIke-ZLubylfaXiFrIT77d2xJ4M_IPanXyrGEEsI_2vcm9aH6KFRUObzbY6ZhalrZsY9l3oX195BwhJvekDGM8HLljhhiGuwb31CeKVeT95fUDNKdxVQr8HYCTnrARsUSDpejdYWgltHNrjZ81pxkNlcI-BZRMMGIQWktv4gmjlZiFhI0h-l9SHyQFmjU6ZsNfgNzdlFwluv1BU6tbTlwhQGiYrFa-zI8JsI4NlGqI_d.-orqS0SRuR83xuT-Y3wx7irEVTT68KnEYTa55ZFVeXs&dib_tag=se&keywords=man%27s+t-shirt&qid=1738826443&refinements=p_36%3A0-10000&sr=8-20"
